"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"norm","python","Tagged","Aware","all","coha","elastic",211,1551,10,"50","PPMI","glmnet",0.292593039410427,0.492352534369479
"plus","python","Tagged","Aware","all","coha","elastic",210,1551,10,"50","PPMI","glmnet",0.295741253423664,0.531255268652162
"norm","python","Tagged","Aware","all","coha","elastic",211,1661,10,"50","PPMI","glmnet",0.264622619070472,0.544907238027905
"plus","python","Tagged","Aware","all","coha","elastic",210,1661,10,"50","PPMI","glmnet",0.306987678652807,0.561160806755144
"norm","python","Tagged","Aware","all","coha","elastic",211,1771,10,"50","PPMI","glmnet",0.292091763962431,0.549624733577484
"plus","python","Tagged","Aware","all","coha","elastic",210,1771,10,"50","PPMI","glmnet",0.266063838032887,0.527673454301683
"norm","python","Tagged","Aware","all","coha","elastic",211,1881,10,"50","PPMI","glmnet",0.275037431788935,0.510178805705656
"plus","python","Tagged","Aware","all","coha","elastic",210,1881,10,"50","PPMI","glmnet",0.294405666121192,0.494699502416184
"norm","python","Tagged","Aware","all","coha","elastic",211,1991,10,"50","PPMI","glmnet",0.290842038070353,0.52180466860944
"plus","python","Tagged","Aware","all","coha","elastic",210,1991,10,"50","PPMI","glmnet",0.275211478462041,0.487586620664053
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"100","PPMI","glmnet",0.586351929459895,0.746768508097967
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1001,10,"100","PPMI","glmnet",0.536945705200646,0.746242706405236
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"100","PPMI","glmnet",0.51409662352768,0.629007203306634
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1111,10,"100","PPMI","glmnet",0.476876940421947,0.629007203306634
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"100","PPMI","glmnet",0.59040551630367,0.713916988612954
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1221,10,"100","PPMI","glmnet",0.492457937390341,0.704564508634659
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"100","PPMI","glmnet",0.487625539793192,0.664189213068399
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1331,10,"100","PPMI","glmnet",0.490946005541003,0.656273547470933
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"100","PPMI","glmnet",0.472183113142842,0.689408241298721
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1441,10,"100","PPMI","glmnet",0.508312680622812,0.689408241298721
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"100","PPMI","glmnet",0.525336010582015,0.687811296855113
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1551,10,"100","PPMI","glmnet",0.531901542918034,0.685960143330807
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"100","PPMI","glmnet",0.495108404480424,0.645394084491359
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1661,10,"100","PPMI","glmnet",0.487121119137094,0.648538977887136
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"100","PPMI","glmnet",0.560098516433173,0.664239492560043
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1771,10,"100","PPMI","glmnet",0.481020443379854,0.657053345373896
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"100","PPMI","glmnet",0.529681695359543,0.705092050310603
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1881,10,"100","PPMI","glmnet",0.524374005659869,0.705092050310603
"norm","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"100","PPMI","glmnet",0.507044858682699,0.689603178261955
"plus","python","Tagged","Aware","reddy","coha","elastic",89,1991,10,"100","PPMI","glmnet",0.503074387983979,0.689603178261955
"norm","python","Tagged","Aware","all","coha","elastic",211,1001,10,"100","PPMI","glmnet",0.268687713665915,0.46687735234082
"plus","python","Tagged","Aware","all","coha","elastic",210,1001,10,"100","PPMI","glmnet",0.25967375258228,0.476034704742472
"norm","python","Tagged","Aware","all","coha","elastic",211,1111,10,"100","PPMI","glmnet",0.268757161038701,0.514211406323721
"plus","python","Tagged","Aware","all","coha","elastic",210,1111,10,"100","PPMI","glmnet",0.275499850668283,0.508037005924898
"norm","python","Tagged","Aware","all","coha","elastic",211,1221,10,"100","PPMI","glmnet",0.270670603832174,0.514155676270164
"plus","python","Tagged","Aware","all","coha","elastic",210,1221,10,"100","PPMI","glmnet",0.265981291605658,0.497000681234192
"norm","python","Tagged","Aware","all","coha","elastic",211,1331,10,"100","PPMI","glmnet",0.26832930297774,0.490970870174979
"plus","python","Tagged","Aware","all","coha","elastic",210,1331,10,"100","PPMI","glmnet",0.257908258899785,0.477715136930392
"norm","python","Tagged","Aware","all","coha","elastic",211,1441,10,"100","PPMI","glmnet",0.290304088760927,0.504096530737429
"plus","python","Tagged","Aware","all","coha","elastic",210,1441,10,"100","PPMI","glmnet",0.273371269886743,0.491166752066093
"norm","python","Tagged","Aware","all","coha","elastic",211,1551,10,"100","PPMI","glmnet",0.257942561530937,0.50615930208029
"plus","python","Tagged","Aware","all","coha","elastic",210,1551,10,"100","PPMI","glmnet",0.28326968053962,0.524427912638212
"norm","python","Tagged","Aware","all","coha","elastic",211,1661,10,"100","PPMI","glmnet",0.270510597438795,0.539968333923258
"plus","python","Tagged","Aware","all","coha","elastic",210,1661,10,"100","PPMI","glmnet",0.280881569974844,0.533008506899341
"norm","python","Tagged","Aware","all","coha","elastic",211,1771,10,"100","PPMI","glmnet",0.262997791299326,0.517062905492073
"plus","python","Tagged","Aware","all","coha","elastic",210,1771,10,"100","PPMI","glmnet",0.263558624347751,0.515164813908568
"norm","python","Tagged","Aware","all","coha","elastic",211,1881,10,"100","PPMI","glmnet",0.256468089510344,0.509008518718088
"plus","python","Tagged","Aware","all","coha","elastic",210,1881,10,"100","PPMI","glmnet",0.280229792362608,0.503996919746522
"norm","python","Tagged","Aware","all","coha","elastic",211,1991,10,"100","PPMI","glmnet",0.264962545245084,0.510585614200656
