"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"plus","python","UnTagged","Aware","all","coha","elastic",210,1881,10,"100","PPMI","glmnet",0.321947251522197,0.548219180199241
"norm","python","UnTagged","Aware","all","coha","elastic",211,1991,10,"100","PPMI","glmnet",0.295282505911308,0.534560902024116
"plus","python","UnTagged","Aware","all","coha","elastic",210,1991,10,"100","PPMI","glmnet",0.304943939266577,0.514734726082946
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"500","PPMI","glmnet",0.312999118387403,0.478540560729421
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1001,10,"500","PPMI","glmnet",0.314417735716181,0.478394566848945
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"500","PPMI","glmnet",0.318972364879611,0.405097726953785
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1111,10,"500","PPMI","glmnet",0.378165864021662,0.426341991341991
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"500","PPMI","glmnet",0.367081922330532,0.374237382786098
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1221,10,"500","PPMI","glmnet",0.274201159356723,0.34623037828092
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"500","PPMI","glmnet",0.377288599589901,0.456408488751097
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1331,10,"500","PPMI","glmnet",0.331032953715887,0.456408488751097
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"500","PPMI","glmnet",0.317630374644162,0.367479959466493
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1441,10,"500","PPMI","glmnet",0.308670765208278,0.4004329004329
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"500","PPMI","glmnet",0.487239802025372,0.492950301754649
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1551,10,"500","PPMI","glmnet",0.417030954070858,0.6
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"500","PPMI","glmnet",0.370426808842988,0.458408804805006
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1661,10,"500","PPMI","glmnet",0.329557489868989,0.458408804805006
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"500","PPMI","glmnet",0.347869869813598,0.691763756703702
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1771,10,"500","PPMI","glmnet",0.301933126971859,0.672727272727273
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"500","PPMI","glmnet",0.29477640143841,0.524199609083688
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1881,10,"500","PPMI","glmnet",0.314631298409061,0.524199609083688
"norm","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"500","PPMI","glmnet",0.319925584356672,0.41417533715067
"plus","python","UnTagged","Aware","reddy","coha","elastic",89,1991,10,"500","PPMI","glmnet",0.36794078919476,0.41417533715067
"norm","python","UnTagged","Aware","all","coha","elastic",211,1001,10,"500","PPMI","glmnet",0.131206864847312,0.302527008882728
"plus","python","UnTagged","Aware","all","coha","elastic",210,1001,10,"500","PPMI","glmnet",0.120730313174969,0.32736492137473
"norm","python","UnTagged","Aware","all","coha","elastic",211,1111,10,"500","PPMI","glmnet",0.126002056266625,0.300759624801581
"plus","python","UnTagged","Aware","all","coha","elastic",210,1111,10,"500","PPMI","glmnet",0.156024220466587,0.306816624150739
