"model","impute","tag","setting","dataset","corpus","ml_algo","n","seed","timespan","cutoff","ppmi","method","TrainRsquared","TrainSpearman"
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1331,10,"500","PPMI","glmnet",0.31662297364177,0.463229556293205
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"500","PPMI","glmnet",0.323541153310517,0.463155317461878
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1441,10,"500","PPMI","glmnet",0.301819765722573,0.415307694543918
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"500","PPMI","glmnet",0.331782604102583,0.526740878604558
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1551,10,"500","PPMI","glmnet",0.309997060111659,0.453580992808144
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"500","PPMI","glmnet",0.374360560921563,0.472728795006066
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1661,10,"500","PPMI","glmnet",0.322657573301724,0.425315220369858
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"500","PPMI","glmnet",0.378168567912466,0.44916051615414
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1771,10,"500","PPMI","glmnet",0.304008023743761,0.44916051615414
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"500","PPMI","glmnet",0.326048130355798,0.473432582112366
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1881,10,"500","PPMI","glmnet",0.318011647451021,0.406298701298701
"norm","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"500","PPMI","glmnet",0.332972648506293,0.449597974984977
"plus","python","Tagged","Agnostic","reddy","coha","elastic",89,1991,10,"500","PPMI","glmnet",0.371622362616807,0.478776223776224
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1001,10,"500","PPMI","glmnet",0.143917342462525,0.341528822003583
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1001,10,"500","PPMI","glmnet",0.124707388249296,0.346310822202073
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1111,10,"500","PPMI","glmnet",0.1185592601928,0.339792776549347
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1111,10,"500","PPMI","glmnet",0.143988156984702,0.321160786611611
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1221,10,"500","PPMI","glmnet",0.154910847019341,0.34071983569322
"plus","python","Tagged","Agnostic","all","coha","elastic",210,1221,10,"500","PPMI","glmnet",0.137840655560135,0.348314061579902
"norm","python","Tagged","Agnostic","all","coha","elastic",211,1331,10,"500","PPMI","glmnet",0.16850757777152,0.345045670277946
